"type","user","text","ts"
"message","U02HU6FTQ","<@U02HHKDHF> <@U02HRG39Y> <@U02J974JP> <@U02J971SX> <@U02JACKSG> we will be having our normal weekly quiz on Monday since Leslie is out today and Kali had to leave early. It will be on Ember stuff. Be prepared to write some Ember code.","1414186912.000003"
"message","U02J974JP","Train","1414166535.000002"
"message","U02HHHCCF","<!channel>:  Hey, JavaScripters! This is a call for help! I want to do a short 15 minute demo about debugging client-side JavaScript with the Chrome Developer tools at the next Hack + Help, and I was wondering if anybody wanted to help me. Anything would be great, it would be cool to tag-team a demo. \n\nMost of all, I'm all a-flutter about breaking on exceptions and XHR requests. Does anybody have any code snippets that explore exceptions or AJAX? Let me know!!\n\nOh, and if you'd like to do a short interactive lightening talk at Hack + Help that isn't about this topic, please pick one that you'd rather do. Even if it's just ten minutes on some topic, it would be great!","1414094470.000018"
"message","U02J974JP","q","1414088013.000017"
"message","U02J974JP","To set up your psql to be more readable  ```$ subl ~/.psqlrc ``` and add \\x auto to that file and save.","1414086947.000016"
"message","U02J974JP","var knexConfig = require('../knexfile.js')[config.env];\nvar knex = require('knex')(knexConfig);\nvar bookshelf = require('bookshelf')(knex);","1414082861.000015"
"message","U02J974JP","don't feel like you have to respond right now that would be crazy","1414045575.000014"
"message","U02J974JP","for somereason I needed to install sqlite3 anyone else have this problem?","1414045545.000013"
"message","U02HHKDHF","thanks <@U02J974JP> !!!","1414035298.000012"
"message","U02J974JP","I forgot ./node_modules/.bin/knex init after installing pg","1414030877.000011"
"message","U02HHKDHF","<!channel> anyone going to the javascript admirers' meetup tonight at 7pm?","1414023860.000010"
"message","U02J974JP","Make Directory\n\nYo Caribou\nSelect all the options\n\nGit Init stuff \n\nnpm install --save admit-one admit-one-bookshelf\nnpm install --save knex bookshelf bluebird\n npm install pg\n\n\nAdd usage code from the admit-one book shelf to knex.js\nMake a database in psql\nMigrate to database\nAdd migration info from the admit one bookshelf to the migration file.\nbower i --save admit-one-ember\nadd “app/bower_components/admit-one-ember/dist/adm” to the package.json file\nAdd Usage info from the Admit one main page to the sever\nAdd Usage info from the Admit one ember page to the app\nAdd templates\nBe sure to change mongo stuff\nWe don’t need versions for api’s","1414022467.000009"
"message","U02HU6FTQ","```\n\t""todoreview"":\n\t{\n\t\t""exclude_folders"":\n\t\t[\n\t\t\t""tmp"",\n\t\t\t""out"",\n\t\t\t""*/.*"",\n\t\t\t""*/coverage/*"",\n\t\t\t""*/node_modules/*"",\n\t\t\t""*/bower_components/*""\n\t\t]\n\t}\n```","1414011612.000008"
"message","U02HHHCCF","The article highlights home computers being marketed to boys and the resulting experience boys had before coming to university. That's bad enough. But there are also some quotes from professors who seemed to be actively dismissive of people who were there to learn. I think the universities carry a lot of the blame and that behavior continues to this day.","1413999452.000007"
"message",,,"1413996300.000005"
"message","U02HHKDHF","<!channel> Important history to understand! <http://www.npr.org/blogs/money/2014/10/21/357629765/when-women-stopped-coding>","1413996300.000004"
"message","U02HJPJM8","<!channel>: hey does anyone want to take my place as a TA at the primer tonight? I can't go now but hate to leave them hanging.","1413931210.000003"
"message","U02HYE1BL","This is a test, for my app. Cool beans, keep being bad-asses!","1413914088.000002"
"message",,,"1413700720.000003"
"message","U02HJPJM8","<!channel>: Hey guys, have you checked out the Student Perks section on Treehouse? There are some pretty cool things in there like some free months of web hosting, free images, eBooks and other discounts. It's pretty rad. <http://teamtreehouse.com/perks>","1413700720.000002"
"message","U02HU6FTQ","<http://en.wikipedia.org/wiki/Dvorak_Simplified_Keyboard>","1413569255.000006"
"message",,,"1413569134.000004"
"message","U02HU6FTQ","<http://www.daskeyboard.com/daskeyboard-4-ultimate/>","1413569134.000003"
"message","U02HU6FTQ","<@U02HU6FTQ|wbyoung> uploaded a file: <https://portlandcodeschool.slack.com/files/wbyoung/F02Q9FWMZ/index.html|index.html> and commented: Tardy stuff.","1413567454.000002"
"message","U02J974JP","{{#link-to 'insult' type=""button"" class=""btn btn-danger""}}Insult Me...{{/link-to}}","1413312627.000009"
"message",,,"1413307420.000007"
"message","U02HU6FTQ","<http://osxdaily.com/2012/10/09/best-defaults-write-commands-mac-os-x/>","1413307419.000006"
"message",,,"1413301845.000004"
"message","U02HU6FTQ","<https://github.com/wbyoung/caribou>","1413301462.000003"
"message","U02HHHCCF","<!channel>: reminder - if you're interested in getting a job or the job readiness track, please joing the <#C02LHC78D> channel.","1413298379.000002"
"message","U02HRG39Y","Lolz, made my day :smile:","1413244891.000013"
"message","U02JACKSG","Lesl days you are on so hope you get this. It's our 5 pm adios","1413244741.000012"
"message","U02JACKSG","We love you AWEstin! ","1413244705.000011"
"message","U02JACKSG","<@U02JACKSG|kkiger> uploaded a file: <https://portlandcodeschool.slack.com/files/kkiger/F02PKG01G/slack_for_ios_upload.jpg|Slack for iOS Upload>","1413244701.000010"
"message",,"<@U02HU6FTQ|wbyoung> commented on <@U02HU6FTQ|wbyoung>'s file <https://portlandcodeschool.slack.com/files/wbyoung/F02NE6F2K/gh-pages.sh|gh-pages.sh>: Re-sharing this stuff for GitHub pages.","1413235904.000009"
"message","U02HU6FTQ","<@U02HU6FTQ|wbyoung> shared a file: <https://portlandcodeschool.slack.com/files/wbyoung/F02NE6F2K/gh-pages.sh|gh-pages.sh> and commented: Publishing to gh-pages &amp; delete master.","1413235904.000008"
"message","U02HRG39Y",":see_no_evil:","1413227086.000007"
"message","U02HRG39Y","O hai!","1413227057.000006"
"message","U02HU6FTQ","<@U02HU6FTQ|wbyoung> shared a file: <https://portlandcodeschool.slack.com/files/wbyoung/F02PJ0JNN/run.sh|run.sh>","1413226300.000005"
"message","U02HU6FTQ","<@U02HU6FTQ|wbyoung> shared a file: <https://portlandcodeschool.slack.com/files/wbyoung/F02PJ0JMW/httpd_conf.txt|httpd.conf>","1413226300.000004"
"message","U02HU6FTQ","<@U02J971SX>: this is the shortest config I could get enabling PHP: <https://gist.github.com/ddfa92a95c6111f9adb3.git>\n\nThis won't get your theme operational, though. You'll probably have to learn how theme development in WordPress works. It's likely that you have to have a working WP site locally and then add the theme before you can tweak it.","1413226276.000003"
"message","U02J974JP","Running late feel free to start","1413215916.000002"
"message","U02J974JP","Poke","1412986131.000279"
"message","U02J974JP","Poke","1412986128.000278"
"message","U02J974JP","Anyone still at code school","1412986093.000277"
"message","U02HU6FTQ","Of course. :wink:","1412984833.000276"
"message","U02HRG39Y","Everyone who is important :wink:","1412984809.000275"
"message","U02HU6FTQ","Have a good weekend, everyone. I'll see you all Monday.","1412984793.000274"
"message","U02HRG39Y","Okay, thank you.","1412984765.000273"
"message","U02HU6FTQ","If anyone has any objections to the teams, please email me over the weekend.","1412984617.000272"
"message","U02HRG39Y","NEMESIS","1412984615.000271"
"message","U02J971SX","Maybe next Friday","1412984590.000270"
"message","U02HU6FTQ","Oh — teams for the next 6 weeks:\nAndrea, Steve, and Kali\nAustin and Leslie","1412984585.000269"
"message","U02J971SX","Thanks, Whit! Too bad you're not here getting wasted with us :beers::beers::beers:","1412984576.000268"
"message","U02HU6FTQ","It's a promise thing.","1412984545.000267"
"message","U02HU6FTQ","It's in the bluebird documentation.","1412984541.000266"
"message","U02J974JP","node? bookself?","1412984533.000265"
"message","U02J974JP","where is the documentation on . spread?","1412984525.000264"
"message","U02HU6FTQ","That's the gist of it.","1412984496.000263"
"message","U02HRG39Y","That makes sense. Don't write tests that depend on other things working","1412984484.000262"
"message","U02HU6FTQ","Good job keeping everyone on task, <@U02J971SX>.","1412984440.000261"
"message","U02HU6FTQ","Feel free to continue working on the backend over the weekend if you want or trying to add a front-end to this as well.","1412984371.000260"
"message","U02HU6FTQ","Chat for a bit if you want. Jot down any questions that you'd like to discuss in more detail Monday, but I'd call that a day!","1412984350.000259"
"message","U02HU6FTQ","You guys did great today!","1412984302.000258"
"message","U02HU6FTQ","I sent one last PR that does a bunch of promise related stuff. You don't need to accept that one.","1412984290.000257"
"message","U02HU6FTQ","It should have a full explanation, but the short of it is that there's no reason that we _have_ to use a `POST` request in order to test the `GET` request. Therefore, we shouldn't.","1412984216.000256"
"message","U02HU6FTQ","Then also look at the PR that I just sent over.","1412984175.000255"
"message","U02HRG39Y","right, that makes a lot of sense","1412984076.000254"
"message","U02HU6FTQ","And I just sent a PR for the test update.","1412984066.000253"
